1: np4PN/pp4PP/8/8/8/8/PP4pp/NP4pn w g1 -> f1
2: np3P1N/pp4PP/8/8/8/8/PP4pp/NP4pn b b1 -> c1
3: n1p2P1N/pp4PP/8/8/8/8/PP4pp/NP4pn w h2 -> h3
4: n1p2P1N/pp4P1/7P/8/8/8/PP4pp/NP4pn b c1 -> d1
5: n2p1P1N/pp4P1/7P/8/8/8/PP4pp/NP4pn w f1 -> f2
6: n2p3N/pp3PP1/7P/8/8/8/PP4pp/NP4pn b a2 -> a3
7: n2p3N/1p3PP1/p6P/8/8/8/PP4pp/NP4pn w h3 -> g3
8: n2p3N/1p3PP1/p5P1/8/8/8/PP4pp/NP4pn b a3 -> b3
9: n2p3N/1p3PP1/1p4P1/8/8/8/PP4pp/NP4pn w b7 -> c7
10: n2p3N/1p3PP1/1p4P1/8/8/8/P1P3pp/NP4pn b b2 -> c2
11: n2p3N/2p2PP1/1p4P1/8/8/8/P1P3pp/NP4pn w b8 -> c8
12: n2p3N/2p2PP1/1p4P1/8/8/8/P1P3pp/N1P3pn b h8 -> f8
13: n2p3N/2p2PP1/1p4P1/8/8/8/P1P3pp/N1P2np1 w c8 -> b8
14: n2p3N/2p2PP1/1p4P1/8/8/8/P1P3pp/NP3np1 b h7 -> h6
15: n2p3N/2p2PP1/1p4P1/8/8/7p/P1P3p1/NP3np1 w a7 -> b7
16: n2p3N/2p2PP1/1p4P1/8/8/7p/1PP3p1/NP3np1 b g7 -> f7
17: n2p3N/2p2PP1/1p4P1/8/8/7p/1PP2p2/NP3np1 w b7 -> b6
18: n2p3N/2p2PP1/1p4P1/8/8/1P5p/2P2p2/NP3np1 b h6 -> g6
19: n2p3N/2p2PP1/1p4P1/8/8/1P4p1/2P2p2/NP3np1 w h1 -> h3
20: n2p4/2p2PP1/1p4PN/8/8/1P4p1/2P2p2/NP3np1 b g8 -> g7
21: n2p4/2p2PP1/1p4PN/8/8/1P4p1/2P2pp1/NP3n2 w a8 -> c8
22: n2p4/2p2PP1/1p4PN/8/8/1P4p1/2P2pp1/1PN2n2 b g6 -> f6
23: n2p4/2p2PP1/1p4PN/8/8/1P3p2/2P2pp1/1PN2n2 w b8 -> b7
24: n2p4/2p2PP1/1p4PN/8/8/1P3p2/1PP2pp1/2N2n2 b a1 -> c1
25: 2np4/2p2PP1/1p4PN/8/8/1P3p2/1PP2pp1/2N2n2 w f2 -> f3
26: 2np4/2p3P1/1p3PPN/8/8/1P3p2/1PP2pp1/2N2n2 b b3 -> c3
27: 2np4/2p3P1/2p2PPN/8/8/1P3p2/1PP2pp1/2N2n2 w b6 -> c6
28: 2np4/2p3P1/2p2PPN/8/8/2P2p2/1PP2pp1/2N2n2 b f6 -> e6
29: 2np4/2p3P1/2p2PPN/8/8/2P1p3/1PP2pp1/2N2n2 w c6 -> d6
30: 2np4/2p3P1/2p2PPN/8/8/3Pp3/1PP2pp1/2N2n2 b e6 -> c6xd6
31: 2np4/2p3P1/2p2PPN/8/8/2p5/1PP2pp1/2N2n2 w c7 -> c5xc6
32: 2np4/2p3P1/2p2PPN/8/2P5/8/1P3pp1/2N2n2 b c3 -> c4
33: 2np4/2p3P1/5PPN/2p5/2P5/8/1P3pp1/2N2n2 w c5 -> c3xc4
34: 2np4/2p3P1/2P2PPN/8/8/8/1P3pp1/2N2n2 b c2 -> c4xc3
35: 2np4/6P1/5PPN/2p5/8/8/1P3pp1/2N2n2 w g2 -> f2
36: 2np4/5P2/5PPN/2p5/8/8/1P3pp1/2N2n2 b g7 -> g6
37: 2np4/5P2/5PPN/2p5/8/6p1/1P3p2/2N2n2 w b7 -> c7
38: 2np4/5P2/5PPN/2p5/8/6p1/2P2p2/2N2n2 b d1 -> d2
39: 2n5/3p1P2/5PPN/2p5/8/6p1/2P2p2/2N2n2 w f3 -> e3
40: 2n5/3p1P2/4P1PN/2p5/8/6p1/2P2p2/2N2n2 b d2 -> d3
41: 2n5/5P2/3pP1PN/2p5/8/6p1/2P2p2/2N2n2 w e3 -> c3xd3
42: 2n5/5P2/2P3PN/2p5/8/6p1/2P2p2/2N2n2 b c4 -> c2xc3
43: 2n5/2p2P2/6PN/8/8/6p1/2P2p2/2N2n2 w c8 -> c6
44: 2n5/2p2P2/6PN/8/8/2N3p1/2P2p2/5n2 b c1 -> c3
45: 8/2p2P2/2n3PN/8/8/2N3p1/2P2p2/5n2 w h3 -> h5
46: 8/2p2P2/2n3P1/8/7N/2N3p1/2P2p2/5n2 b f8 -> f6
47: 8/2p2P2/2n3P1/8/7N/2N2np1/2P2p2/8 w h5 -> h3
48: 8/2p2P2/2n3PN/8/8/2N2np1/2P2p2/8 b f6 -> d6
49: 8/2p2P2/2n3PN/8/8/2Nn2p1/2P2p2/8 w h3 -> h5
50: 8/2p2P2/2n3P1/8/7N/2Nn2p1/2P2p2/8 b d6 -> d4
