1: np4PN/pp4PP/8/8/8/8/PP4pp/NP4pn w h1 -> f1
2: np3NP1/pp4PP/8/8/8/8/PP4pp/NP4pn b a1 -> c1
3: 1pn2NP1/pp4PP/8/8/8/8/PP4pp/NP4pn w h2 -> h3
4: 1pn2NP1/pp4P1/7P/8/8/8/PP4pp/NP4pn b h8 -> f8
5: 1pn2NP1/pp4P1/7P/8/8/8/PP4pp/NP3np1 w a8 -> a6
6: 1pn2NP1/pp4P1/7P/8/8/N7/PP4pp/1P3np1 b h7 -> h6
7: 1pn2NP1/pp4P1/7P/8/8/N6p/PP4p1/1P3np1 w b7 -> c7
8: 1pn2NP1/pp4P1/7P/8/8/N6p/P1P3p1/1P3np1 b b2 -> c2
9: 1pn2NP1/p1p3P1/7P/8/8/N6p/P1P3p1/1P3np1 w c7 -> d7
10: 1pn2NP1/p1p3P1/7P/8/8/N6p/P2P2p1/1P3np1 b b1 -> b2
11: 2n2NP1/ppp3P1/7P/8/8/N6p/P2P2p1/1P3np1 w a7 -> b7
12: 2n2NP1/ppp3P1/7P/8/8/N6p/1P1P2p1/1P3np1 b a2 -> a3
13: 2n2NP1/1pp3P1/p6P/8/8/N6p/1P1P2p1/1P3np1 w a6 -> a4
14: 2n2NP1/1pp3P1/p6P/N7/8/7p/1P1P2p1/1P3np1 b a3 -> a5xa4
15: 2n2NP1/1pp3P1/7P/8/p7/7p/1P1P2p1/1P3np1 w g2 -> g3
16: 2n2NP1/1pp5/6PP/8/p7/7p/1P1P2p1/1P3np1 b f8 -> f6
17: 2n2NP1/1pp5/6PP/8/p7/5n1p/1P1P2p1/1P4p1 w d7 -> d6
18: 2n2NP1/1pp5/6PP/8/p7/3P1n1p/1P4p1/1P4p1 b f6 -> c6xd6
19: 2n2NP1/1pp5/6PP/8/p7/2n4p/1P4p1/1P4p1 w b7 -> b6
20: 2n2NP1/1pp5/6PP/8/p7/1Pn4p/6p1/1P4p1 b c6 -> c8
21: 2n2NP1/1pp5/6PP/8/p7/1P5p/6p1/1Pn3p1 w b8 -> d8xc8
22: 2n2NP1/1pp5/6PP/8/p7/1P5p/6p1/3P2p1 b a5 -> b5
23: 2n2NP1/1pp5/6PP/8/1p6/1P5p/6p1/3P2p1 w b6 -> b4xb5
