1: np4PN/pp4PP/8/8/8/8/PP4pp/NP4pn w a8 -> a6
2: np4PN/pp4PP/8/8/8/N7/PP4pp/1P4pn b a1 -> c1
3: 1pn3PN/pp4PP/8/8/8/N7/PP4pp/1P4pn w h1 -> f1
4: 1pn2NP1/pp4PP/8/8/8/N7/PP4pp/1P4pn b h8 -> f8
5: 1pn2NP1/pp4PP/8/8/8/N7/PP4pp/1P3np1 w b7 -> b6
6: 1pn2NP1/pp4PP/8/8/8/NP6/P5pp/1P3np1 b b2 -> c2
7: 1pn2NP1/p1p3PP/8/8/8/NP6/P5pp/1P3np1 w h2 -> h3
8: 1pn2NP1/p1p3P1/7P/8/8/NP6/P5pp/1P3np1 b b1 -> b2
9: 2n2NP1/ppp3P1/7P/8/8/NP6/P5pp/1P3np1 w b8 -> b7
10: 2n2NP1/ppp3P1/7P/8/8/NP6/PP4pp/5np1 b b2 -> b3
11: 2n2NP1/p1p3P1/1p5P/8/8/NP6/PP4pp/5np1 w g2 -> g3
12: 2n2NP1/p1p5/1p4PP/8/8/NP6/PP4pp/5np1 b a2 -> b2
13: 2n2NP1/1pp5/1p4PP/8/8/NP6/PP4pp/5np1 w b7 -> c7
14: 2n2NP1/1pp5/1p4PP/8/8/NP6/P1P3pp/5np1 b g7 -> f7
15: 2n2NP1/1pp5/1p4PP/8/8/NP6/P1P2p1p/5np1 w a7 -> b7
16: 2n2NP1/1pp5/1p4PP/8/8/NP6/1PP2p1p/5np1 b h7 -> g7
17: 2n2NP1/1pp5/1p4PP/8/8/NP6/1PP2pp1/5np1 w h3 -> h4
18: 2n2NP1/1pp5/1p4P1/7P/8/NP6/1PP2pp1/5np1 b c1 -> c3
19: 5NP1/1pp5/1pn3P1/7P/8/NP6/1PP2pp1/5np1 w f1 -> f3
20: 6P1/1pp5/1pn2NP1/7P/8/NP6/1PP2pp1/5np1 b f8 -> f6
21: 6P1/1pp5/1pn2NP1/7P/8/NP3n2/1PP2pp1/6p1 w g1 -> g2
22: 8/1pp3P1/1pn2NP1/7P/8/NP3n2/1PP2pp1/6p1 b g8 -> f8
23: 8/1pp3P1/1pn2NP1/7P/8/NP3n2/1PP2pp1/5p2 w g2 -> f2
24: 8/1pp2P2/1pn2NP1/7P/8/NP3n2/1PP2pp1/5p2 b g7 -> g6
25: 8/1pp2P2/1pn2NP1/7P/8/NP3np1/1PP2p2/5p2 w a6 -> c6
26: 8/1pp2P2/1pn2NP1/7P/8/1PN2np1/1PP2p2/5p2 b f8 -> e8
27: 8/1pp2P2/1pn2NP1/7P/8/1PN2np1/1PP2p2/4p3 w g3 -> g2
28: 8/1pp2PP1/1pn2N2/7P/8/1PN2np1/1PP2p2/4p3 b e8 -> e7
29: 8/1pp2PP1/1pn2N2/7P/8/1PN2np1/1PP1pp2/8 w c6 -> e6
30: 8/1pp2PP1/1pn2N2/7P/8/1P2Nnp1/1PP1pp2/8 b e7 -> e5xe6
31: 8/1pp2PP1/1pn2N2/7P/4p3/1P3np1/1PP2p2/8 w b6 -> b5
32: 8/1pp2PP1/1pn2N2/7P/1P2p3/5np1/1PP2p2/8 b b3 -> b4
33: 8/1pp2PP1/2n2N2/1p5P/1P2p3/5np1/1PP2p2/8 w b5 -> b3xb4
34: 8/1pp2PP1/1Pn2N2/7P/4p3/5np1/1PP2p2/8 b b2 -> b4xb3
35: 8/2p2PP1/2n2N2/1p5P/4p3/5np1/1PP2p2/8 w c7 -> c6
36: 8/2p2PP1/2n2N2/1p5P/4p3/2P2np1/1P3p2/8 b e5 -> d5
37: 8/2p2PP1/2n2N2/1p5P/3p4/2P2np1/1P3p2/8 w c6 -> d6
38: 8/2p2PP1/2n2N2/1p5P/3p4/3P1np1/1P3p2/8 b f6 -> c6xd6
39: 8/2p2PP1/2n2N2/1p5P/3p4/2n3p1/1P3p2/8 w b7 -> c7
40: 8/2p2PP1/2n2N2/1p5P/3p4/2n3p1/2P2p2/8 b d5 -> c5
