1: np4PN/pp4PP/8/8/8/8/PP4pp/NP4pn w h1 -> h3
2: np4P1/pp4PP/7N/8/8/8/PP4pp/NP4pn b a1 -> c1
3: 1pn3P1/pp4PP/7N/8/8/8/PP4pp/NP4pn w a8 -> c8
4: 1pn3P1/pp4PP/7N/8/8/8/PP4pp/1PN3pn b h8 -> f8
5: 1pn3P1/pp4PP/7N/8/8/8/PP4pp/1PN2np1 w b7 -> b6
6: 1pn3P1/pp4PP/7N/8/8/1P6/P5pp/1PN2np1 b a2 -> a3
7: 1pn3P1/1p4PP/p6N/8/8/1P6/P5pp/1PN2np1 w a7 -> a6
8: 1pn3P1/1p4PP/p6N/8/8/PP6/6pp/1PN2np1 b b2 -> c2
9: 1pn3P1/2p3PP/p6N/8/8/PP6/6pp/1PN2np1 w b8 -> b7
10: 1pn3P1/2p3PP/p6N/8/8/PP6/1P4pp/2N2np1 b b1 -> b2
11: 2n3P1/1pp3PP/p6N/8/8/PP6/1P4pp/2N2np1 w g2 -> f2
12: 2n3P1/1pp2P1P/p6N/8/8/PP6/1P4pp/2N2np1 b g7 -> f7
13: 2n3P1/1pp2P1P/p6N/8/8/PP6/1P3p1p/2N2np1 w g1 -> g2
14: 2n5/1pp2PPP/p6N/8/8/PP6/1P3p1p/2N2np1 b b2 -> b3
15: 2n5/2p2PPP/pp5N/8/8/PP6/1P3p1p/2N2np1 w b7 -> c7
16: 2n5/2p2PPP/pp5N/8/8/PP6/2P2p1p/2N2np1 b h7 -> g7
17: 2n5/2p2PPP/pp5N/8/8/PP6/2P2pp1/2N2np1 w g2 -> g3
18: 2n5/2p2P1P/pp4PN/8/8/PP6/2P2pp1/2N2np1 b c1 -> c3
19: 8/2p2P1P/ppn3PN/8/8/PP6/2P2pp1/2N2np1 w c8 -> c6
20: 8/2p2P1P/ppn3PN/8/8/PPN5/2P2pp1/5np1 b g7 -> g6
21: 8/2p2P1P/ppn3PN/8/8/PPN3p1/2P2p2/5np1 w h2 -> g2
22: 8/2p2PP1/ppn3PN/8/8/PPN3p1/2P2p2/5np1 b g8 -> g7
23: 8/2p2PP1/ppn3PN/8/8/PPN3p1/2P2pp1/5n2 w b6 -> b7
24: 8/2p2PP1/ppn3PN/8/8/P1N3p1/1PP2pp1/5n2 b b3 -> b4
25: 8/2p2PP1/p1n3PN/1p6/8/P1N3p1/1PP2pp1/5n2 w c6 -> c4
